t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.561,-2.70348,-6.75865,3.674,5.27774,-103.741,70.5953
55.565,-2.69379,-6.74826,3.67181,5.46242,-98.9693,66.8114
55.571,-2.71802,-6.79795,3.69567,5.67208,-94.0544,62.8883
55.575,-2.72943,-6.87293,3.6664,6.07381,-89.1208,58.9642
55.581,-2.72533,-6.93349,3.66944,6.68595,-84.162,54.8915
55.586,-2.73195,-7.06186,3.59635,6.9137,-79.2384,50.8201
55.59,-2.71469,-7.21699,3.55426,7.20429,-74.3582,46.9549
55.596,-2.67359,-7.3977,3.55904,7.4851,-69.999,43.1099
55.6,-2.60323,-7.46845,3.53408,7.58674,-65.9896,39.7512
55.606,-2.47966,-7.55429,3.5365,7.32014,-62.5818,37.1185
55.61,-2.3931,-7.6209,3.46639,7.18544,-59.951,34.9864
55.616,-2.24489,-7.61783,3.29723,7.69473,-58.1929,33.1608
55.62,-2.16605,-7.66606,3.24893,8.64511,-57.4348,31.2074
55.625,-2.18655,-7.74192,3.20666,9.87761,-57.2215,28.9815
55.631,-2.21583,-7.88678,3.17525,10.9603,-56.8585,26.6702
55.635,-2.21155,-8.01312,3.23382,11.6594,-56.3237,24.5479
55.641,-2.17074,-8.1743,3.23572,12.1098,-56.0092,23.087
55.645,-2.10029,-8.30848,3.29798,12.238,-55.7587,22.0355
55.651,-1.98403,-8.28323,3.28203,12.0049,-55.9738,21.7184
55.655,-1.94317,-8.24752,3.29691,11.8892,-56.6041,21.8199
55.661,-1.94906,-8.20179,3.25732,11.8187,-57.5232,21.6845
55.666,-1.95566,-8.18067,3.23401,12.3285,-58.86,21.1944
55.671,-1.95162,-8.24006,3.25289,13.3459,-60.2511,20.2855
55.676,-1.90687,-8.37484,3.34553,14.1611,-61.562,19.1302
55.68,-1.91146,-8.56784,3.44664,14.8917,-62.3666,18.2694
55.686,-1.91453,-8.69652,3.51406,15.1859,-63.0541,17.6383
55.69,-1.99421,-8.90843,3.39184,15.4883,-63.4131,17.0015
55.696,-2.08317,-9.09912,3.35057,16.115,-63.5305,15.739
55.7,-2.25744,-9.37347,3.23698,17.3031,-62.821,13.9377
55.706,-2.38478,-9.77593,3.1417,18.6157,-61.39,11.4377
55.711,-2.49201,-10.1778,3.15939,19.5341,-59.6742,9.08141
55.715,-2.47838,-10.5683,3.24182,19.9427,-57.4628,7.09282
55.721,-2.36937,-10.838,3.34464,19.6873,-54.9614,5.81873
55.725,-2.30388,-10.9813,3.48867,19.1709,-52.7598,5.17477
55.731,-2.19965,-10.987,3.56619,18.5701,-50.8931,4.70286
55.735,-2.08596,-10.9465,3.65339,18.343,-49.497,4.4515
55.741,-2.04865,-10.8882,3.68686,18.4397,-48.4635,4.04343
55.745,-2.06032,-10.8253,3.75605,18.9931,-47.3611,3.04134
55.75,-2.07424,-10.9348,3.83503,19.6182,-46.433,1.25886
55.755,-2.11211,-11.0649,3.91981,20.3818,-44.9077,-0.548701
55.76,-2.21179,-11.2524,3.94054,20.8069,-42.8806,-2.67128
55.765,-2.26962,-11.4478,3.98372,20.7024,-40.162,-4.92048
55.77,-2.32844,-11.6657,4.00974,20.769,-36.9775,-6.87131
55.775,-2.3731,-11.8896,4.01743,20.6964,-33.7561,-8.86224
55.78,-2.40421,-12.0617,4.04739,20.5964,-30.4599,-11.1539
55.785,-2.40833,-12.2778,4.10388,20.6833,-27.0896,-13.4691
55.79,-2.38819,-12.5425,4.16255,20.6914,-23.5065,-16.0584
55.794,-2.40258,-12.827,4.25736,20.5779,-19.6412,-18.2446
55.799,-2.33181,-13.1265,4.38541,20.4203,-15.5169,-20.5976
55.804,-2.30209,-13.3958,4.44301,19.9634,-11.4899,-22.4647
55.809,-2.32744,-13.6463,4.48313,19.182,-7.08552,-23.9732
55.814,-2.29888,-13.7852,4.62092,18.1313,-2.69057,-25.1129
55.819,-2.289,-13.8406,4.67429,16.7637,1.58389,-25.8204
55.824,-2.3105,-13.8556,4.65505,15.4115,5.704,-26.2581
55.829,-2.26815,-13.8515,4.694,14.0409,9.59353,-26.9371
55.833,-2.24434,-13.846,4.68933,12.9184,13.0992,-27.8085
55.838,-2.27999,-13.8075,4.6516,12.1554,16.4961,-28.5415
55.843,-2.28645,-13.8198,4.64816,11.2858,19.7987,-28.991
55.848,-2.30032,-13.8694,4.59237,10.0949,23.0222,-29.2328
55.853,-2.33809,-13.8076,4.56164,8.65274,25.6257,-28.9869
55.858,-2.35936,-13.7437,4.51917,7.28892,28.2538,-27.8752
55.863,-2.37242,-13.6078,4.38312,5.65346,30.4725,-26.5682
55.867,-2.44916,-13.406,4.31004,4.23179,32.0867,-24.5146
55.872,-2.51553,-13.1692,4.2185,2.65511,33.5102,-21.9124
55.877,-2.5898,-12.8483,4.0932,1.16718,34.6231,-18.7887
55.882,-2.6569,-12.4904,3.95505,-0.0391579,35.4283,-15.3461
55.887,-2.72693,-12.1314,3.87187,-1.21285,36.1024,-11.5801
