t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
56.655,-1.95913,10.1118,-1.51844,-16.9067,4.15039,-59.5703
56.66,-2.02619,10.1836,-1.59509,-18.2495,3.17383,-61.3403
56.664,-1.98787,10.3034,-1.59509,-19.5923,1.64795,-63.4155
56.67,-1.93038,10.3465,-1.2981,-21.3623,-0.427246,-66.4062
56.674,-1.74357,10.2555,-1.15919,-22.8271,-0.732422,-68.9087
56.68,-1.9256,10.6722,-0.9149,-24.231,-0.732422,-70.9229
56.684,-2.27527,11.0075,-1.12087,-26.1841,-1.34277,-73.8525
56.69,-2.04056,11.1081,-1.33163,-27.71,-2.2583,-76.4771
56.695,-1.84416,11.3668,-0.728088,-29.7241,-3.35693,-78.064
56.699,-1.93038,11.3476,-0.435898,-31.9214,-4.02832,-80.8105
56.705,-1.92081,11.2374,-0.632284,-33.8135,-2.2583,-83.8623
56.709,-2.07888,11.8314,-0.689771,-35.5835,-0.854492,-86.3037
56.715,-2.14115,12.1907,-0.886157,-38.269,-0.244141,-88.3789
56.719,-2.33754,12.3631,-1.1065,-40.5884,-0.854492,-90.8203
56.725,-2.24653,12.5116,-1.11608,-42.4194,-2.01416,-92.5293
56.729,-2.13635,12.6744,-1.09213,-44.2505,-3.05176,-94.0552
56.734,-2.08366,12.8229,-1.17356,-46.7529,-4.02832,-96.4355
56.74,-2.22258,13.254,-1.28852,-49.2554,-5.12695,-99.0601
56.744,-2.35191,13.6133,-1.33163,-52.4292,-6.95801,-101.501
56.75,-2.03097,13.9438,-1.5424,-55.7251,-9.09424,-103.638
56.754,-1.66693,14.4084,-1.67172,-59.2041,-10.9253,-106.812
56.76,-1.52803,14.7868,-1.72921,-63.1714,-12.8784,-111.023
56.764,-1.24541,15.0263,-1.79626,-66.7114,-13.7329,-115.356
56.77,-0.895741,15.3664,-1.73878,-70.0684,-14.0991,-119.812
56.775,-0.627497,15.8838,-1.73878,-73.7915,-15.1978,-124.634
56.78,-0.249086,16.3149,-1.85853,-77.7588,-16.9067,-129.578
56.785,0.191599,16.7699,-1.77231,-81.3599,-18.7988,-134.827
56.789,0.689771,17.0573,-1.5424,-84.5947,-20.6299,-140.869
56.795,0.96759,17.3064,-1.05381,-87.4023,-22.0337,-146.606
56.799,1.36995,17.498,-0.512533,-90.7593,-23.5596,-151.855
56.805,2.0645,17.9243,-0.134122,-93.9331,-25.3296,-157.104
56.809,2.5483,18.6093,0.205971,-98.2666,-26.4282,-162.476
56.815,2.91713,19.2416,0.167653,-103.516,-29.1138,-167.053
56.82,3.56379,19.9122,-0.22513,-108.826,-32.1655,-171.57
56.824,4.7134,20.4008,-0.665815,-113.525,-35.3394,-175.842
56.83,5.63788,21.1337,-1.02028,-117.187,-38.3301,-181.335
56.834,5.73847,21.3971,-1.03465,-121.826,-42.3584,-186.645
56.84,5.89175,20.9516,-1.40827,-126.038,-47.9736,-189.575
56.844,6.60068,20.5541,-1.98307,-127.93,-55.542,-192.078
56.85,6.50966,19.6535,-2.00224,-128.052,-58.4717,-195.068
56.854,5.8151,18.068,-1.90644,-127.136,-52.3682,-198.73
56.859,4.68944,16.4825,-2.05493,-124.939,-37.7197,-202.881
56.865,3.44883,15.8454,-2.79738,-121.521,-14.8926,-207.947
56.869,2.25132,15.3712,-3.04647,-120.117,11.3525,-213.684
56.875,1.59987,14.4659,-3.41051,-118.53,35.9497,-216.736
56.879,1.15919,13.7235,-3.50152,-114.38,55.481,-215.088
56.885,0.65624,12.2864,-3.9422,-109.497,71.7773,-211.304
