t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.811,-2.68721,-11.5632,-0.919687,-28.9917,-6.71387,-56.0303
55.817,-2.77343,-11.7739,-0.905316,-31.4941,-6.5918,-59.082
55.821,-2.79738,-12.0326,-0.833467,-33.8135,-7.14111,-62.1338
55.827,-2.8836,-12.2864,-0.775991,-36.1938,-8.11768,-64.9414
55.831,-2.93629,-12.4781,-0.74246,-38.0859,-9.52148,-67.5049
55.837,-3.01772,-12.5643,-0.550851,-40.0391,-11.4136,-69.9463
55.842,-3.04168,-12.5882,-0.426313,-42.0532,-13.4888,-72.3877
55.846,-3.09916,-12.6218,-0.296978,-44.1894,-15.8081,-74.7681
55.852,-3.19975,-12.6936,-0.210758,-46.3867,-18.1885,-77.5757
55.856,-3.21412,-12.7846,-0.0958045,-48.8281,-20.5688,-80.5054
55.862,-3.24765,-12.8565,-0.0335306,-51.3916,-23.2544,-83.0078
55.866,-3.27638,-12.8421,0.0574768,-53.5278,-25.9399,-85.4492
55.872,-3.3674,-12.8229,0.205971,-55.6641,-28.5034,-88.0737
55.876,-3.45362,-12.7511,0.325721,-58.0444,-31.1279,-90.3931
55.881,-3.54941,-12.6313,0.502959,-60.3027,-34.1187,-92.4683
55.887,-3.67875,-12.4637,0.680186,-62.439,-37.2314,-94.5434
55.891,-3.77455,-12.2242,0.871785,-64.5142,-40.4663,-96.1914
55.897,-3.89909,-11.8889,1.08255,-66.7114,-43.9453,-97.229
55.901,-4.02363,-11.5584,1.33163,-68.6035,-47.9126,-98.2056
55.907,-4.15297,-11.2614,1.51365,-70.3125,-51.6357,-98.5718
55.911,-4.23919,-10.9213,1.67172,-71.8994,-55.2368,-98.6328
55.917,-4.31103,-10.5956,1.82022,-73.3032,-58.5937,-98.0835
55.922,-4.2296,-10.2028,1.88249,-74.8291,-61.5845,-96.6797
55.927,-4.2296,-9.8579,1.91602,-75.9277,-63.9648,-94.7266
55.932,-4.13859,-9.50344,1.9735,-76.6602,-65.8569,-92.1631
55.936,-4.00926,-9.15856,1.98307,-77.3926,-67.1387,-89.1724
55.942,-3.87515,-8.91426,2.02619,-77.9419,-68.0542,-86.0596
55.946,-3.70749,-8.70829,1.9735,-77.9419,-68.4814,-82.6416
55.952,-3.53984,-8.53106,1.87291,-77.3926,-68.6646,-78.3081
55.956,-3.37219,-8.31551,1.82022,-76.7822,-68.2983,-73.9746
