t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.688,0.972377,-9.4268,-2.22258,-11.8408,-28.5645,57.4951
55.693,1.33163,-9.04359,-2.49561,-13.9771,-23.9258,55.6641
55.698,1.06338,-8.82325,-2.81654,-15.1367,-17.1509,55.1758
55.702,0.440685,-8.92863,-3.20932,-14.8315,-11.7187,55.1758
55.708,0.0287433,-8.97653,-3.58295,-13.855,-8.72803,54.5044
55.712,-0.153281,-8.98132,-3.77455,-12.5732,-7.50732,52.6733
55.718,-0.316147,-8.97653,-3.7506,-11.0474,-7.50732,50.4761
55.722,-0.392783,-8.99569,-3.67875,-9.15527,-8.8501,48.4619
55.728,-0.48379,-8.8472,-3.73144,-7.32422,-11.1084,47.3022
55.732,-0.383208,-8.7514,-3.93262,-5.49316,-13.855,46.875
55.738,-0.134122,-8.73703,-4.05716,-3.66211,-17.4561,45.8984
55.743,0.134122,-8.68913,-4.00926,-1.64795,-20.3857,44.5557
55.748,0.167653,-8.71309,-3.87993,-0.12207,-21.5454,43.8232
55.753,0.124538,-8.87594,-3.52068,0.732422,-22.583,43.457
55.757,0.0574768,-8.87115,-3.17579,1.28174,-23.8647,42.6025
55.763,-0.0718484,-8.8951,-2.96982,1.15967,-24.7192,42.6025
55.767,-0.0574768,-8.96696,-2.77822,0.305176,-24.353,42.5415
55.773,0.0431149,-8.99569,-2.6441,-0.793457,-23.1323,41.9311
55.777,0.148494,-9.11544,-2.46208,-2.07519,-20.874,41.687
55.783,0.229927,-9.39806,-2.54351,-3.11279,-17.6392,41.3818
55.788,0.191599,-9.44596,-2.77343,-3.17383,-15.3198,41.0156
55.792,0.455056,-9.3789,-2.74469,-3.2959,-12.5732,41.2598
55.798,0.603541,-9.34057,-2.79259,-4.02832,-8.42285,41.9311
55.802,0.464631,-9.32141,-2.99378,-4.21143,-4.69971,42.3584
55.808,0.205971,-9.29747,-3.16143,-3.78418,-1.28174,42.8467
55.812,-0.110166,-9.27352,-3.20453,-3.54004,1.28174,42.5415
55.818,-0.296978,-9.1394,-3.23807,-3.66211,2.74658,41.5039
55.822,-0.450259,-8.9909,-3.29555,-3.78418,3.2959,41.0156
55.827,-0.320934,-9.12981,-3.32429,-3.479,3.60107,40.9546
55.833,-0.282616,-9.04359,-3.24765,-2.99072,5.18799,40.8325
55.837,-0.426313,-8.83762,-3.25722,-3.11279,7.44629,40.7104
55.843,-0.670602,-8.81368,-3.23807,-3.17383,8.72803,40.4053
55.847,-0.852626,-8.91426,-3.07041,-3.11279,8.48389,40.4663
