t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.62,-1.19588,-9.41408,4.33332,56.8408,51.4276,42.3275
55.624,-1.1772,-9.42672,4.41777,58.78,45.6871,45.3148
55.629,-1.19844,-9.37082,4.36889,59.1353,40.8543,46.4757
55.634,-0.95089,-9.18367,4.46223,58.2403,36.5809,46.7022
55.639,-0.795678,-8.80341,5.02684,57.8773,31.7105,47.3067
55.644,-0.697003,-8.38052,5.57747,57.0709,25.2854,48.4551
55.649,-0.601345,-8.25286,6.15413,56.1623,19.0733,50.1427
55.654,-0.270963,-8.52976,6.2534,55.089,12.7612,52.1703
55.659,0.186077,-8.7131,5.40104,52.9706,7.34791,54.7228
55.663,0.677047,-8.75623,4.10767,49.2169,6.19021,56.0585
55.668,0.889377,-8.55867,3.64524,44.8814,7.78312,54.9192
55.673,0.836654,-8.46051,4.06392,42.467,9.16835,53.3896
55.678,0.803041,-8.53983,4.38117,41.3374,9.79808,52.8302
55.683,0.83449,-8.7194,4.26446,40.0244,10.351,52.8606
55.688,0.916237,-8.95403,3.70617,37.2811,11.0082,52.4477
55.693,0.901821,-8.9029,3.11657,33.6461,14.3957,50.2693
55.698,0.450809,-8.81295,3.00702,31.2161,19.8822,46.8817
55.702,-0.233599,-8.91026,3.28133,30.395,24.1057,43.5515
55.708,-0.769765,-9.01679,3.39432,30.0347,25.8307,40.8603
55.712,-1.02825,-9.06471,3.42178,29.4142,25.4486,38.4199
55.718,-1.12517,-8.99821,3.53713,28.9396,23.8297,36.344
55.722,-1.12452,-8.95226,3.63352,29.1011,21.1264,34.8927
55.728,-1.2524,-8.83376,3.58147,29.9895,18.1611,34.4288
55.732,-1.34114,-8.89379,3.36172,31.4809,15.1907,34.6064
55.738,-1.25826,-9.02422,3.1296,32.752,11.2538,35.0064
55.743,-1.0484,-9.04374,2.95038,33.7672,7.60285,34.72
55.748,-0.930562,-9.00549,3.00585,34.5332,5.82806,34.0321
55.753,-0.679227,-8.93379,3.30439,35.0665,4.54868,33.8923
55.757,-0.48632,-8.72899,3.5149,35.095,2.91397,33.8524
55.763,-0.427793,-8.60049,3.71435,35.1729,2.27242,34.4247
55.767,-0.270742,-8.56184,3.84054,34.4696,2.79481,34.7416
55.773,-0.102265,-8.54553,3.85732,33.0523,3.78428,34.4554
55.777,0.120185,-8.578,3.94698,31.5663,5.84637,33.8707
55.783,0.173523,-8.87029,4.01669,30.021,8.57741,32.5339
55.788,-0.00403473,-9.01677,3.95634,29.2829,10.2482,31.0569
55.792,0.185532,-9.0296,3.75979,28.8466,12.5964,29.6736
55.798,0.247626,-9.06993,3.6172,28.0186,16.4717,28.0896
