t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.74,2.31452,-3.17031,-2.24293,-8.73395,-24.8178,40.72
55.744,2.38426,-3.03105,-2.48246,-19.273,-25.2797,41.2425
55.75,2.18183,-3.1356,-2.63543,-29.9792,-26.8373,43.4863
55.754,1.85674,-3.31354,-2.48198,-40.7443,-29.2597,47.3533
55.76,1.6475,-3.34193,-2.07568,-51.076,-32.3386,52.4331
55.764,1.72376,-3.21354,-1.70154,-60.237,-37.4921,57.873
55.769,1.772,-3.06062,-1.19323,-68.7666,-44.1591,62.5752
55.775,1.74663,-3.02703,-0.533956,-77.5377,-50.0138,66.111
55.78,1.83554,-2.99497,-0.0147175,-86.6737,-54.7169,69.2948
55.785,2.09066,-2.97495,0.355199,-96.0748,-58.6313,72.3704
55.789,2.18189,-3.15147,0.696383,-106.058,-61.8034,74.8795
55.795,2.29745,-3.2065,0.944684,-115.719,-62.9012,77.9136
55.799,2.39501,-3.36118,1.01026,-124.837,-63.2315,80.4627
55.805,2.45261,-3.59887,1.0035,-133.886,-64.4489,83.0537
55.809,2.47466,-3.73944,1.01909,-143.119,-66.1304,85.6408
55.815,2.6177,-3.8321,1.06607,-152.417,-68.0307,87.792
55.82,2.67655,-3.97692,1.19564,-161.917,-69.5858,89.8515
55.824,2.66983,-4.14654,1.30802,-171.154,-70.8293,92.0225
55.83,2.77365,-4.23135,1.38384,-180.088,-71.4988,93.7481
55.834,2.83654,-4.38883,1.47621,-189.019,-72.1795,94.6922
55.84,2.93012,-4.48996,1.57991,-197.84,-71.7277,95.1536
55.844,3.03947,-4.72667,1.62652,-206.057,-71.0873,95.1295
55.85,3.22756,-5.03626,1.74343,-214.399,-70.7179,95.0892
55.854,3.3732,-5.3276,1.77306,-222.716,-70.2361,94.8093
55.859,3.56344,-5.67381,1.8718,-231.106,-69.8579,94.0539
55.865,3.69672,-5.99757,2.07391,-239.467,-69.0444,92.6821
55.869,3.89017,-6.34649,2.19366,-247.288,-67.6507,91.2193
55.875,4.01432,-6.72721,2.33518,-254.621,-66.8928,89.7108
55.879,4.21565,-7.01535,2.57081,-262.165,-66.2735,88.0221
55.885,4.36446,-7.2832,2.65325,-269.99,-64.9111,85.7207
55.889,4.53236,-7.62963,2.6374,-277.286,-64.3601,83.2335
55.895,4.58881,-8.05457,2.7792,-284.221,-63.8083,80.691
55.9,4.74049,-8.51455,2.87786,-290.905,-63.2358,78.1687
55.905,4.92595,-9.06987,2.97433,-297.351,-63.3196,75.5807
55.91,4.92275,-9.7251,3.13483,-303.146,-63.5519,73.208
55.914,4.95042,-10.4066,3.24346,-308.275,-63.5065,71.1591
55.92,5.05302,-10.9022,3.30573,-312.853,-65.0559,69.4599
55.924,5.13086,-11.335,3.52407,-317.159,-68.7506,67.4976
55.93,5.50009,-11.8199,3.61903,-321.349,-72.9978,64.6666
55.934,5.8086,-12.3303,3.85542,-325.457,-77.7891,61.5578
55.94,5.91855,-13.0212,4.02673,-328.996,-81.4705,58.951
55.945,6.17988,-13.8016,4.45825,-332.354,-83.7228,56.334
55.949,6.4818,-14.6022,5.06012,-335.052,-85.8272,54.4147
55.955,6.81996,-15.3906,5.86776,-336.662,-88.4507,52.3176
55.959,7.44427,-16.0021,6.77464,-337.572,-92.8125,49.9443
55.965,8.15588,-16.4634,7.77932,-337.672,-99.8655,46.7652
55.969,9.02021,-16.8835,8.86431,-337.384,-109.81,42.4573
55.975,9.85356,-17.3853,9.96751,-336.852,-120.42,37.3016
55.979,10.752,-17.906,11.2112,-335.826,-130.167,31.765
55.984,11.7111,-18.1772,12.5063,-334.209,-138.252,26.074
55.99,12.605,-18.1758,13.8226,-331.896,-142.72,19.3244
55.994,13.3249,-17.9985,14.985,-328.8,-141.754,11.7099
56,13.7545,-17.7424,16.025,-324.548,-135.293,2.04023
56.004,13.7567,-17.3337,17.0606,-319.707,-123.688,-8.55798
56.01,13.5455,-16.8643,18.1587,-314.044,-107.106,-20.9772
56.014,13.1027,-16.4049,19.4852,-306.231,-86.7284,-35.8514
56.02,12.3252,-15.8161,20.8425,-296.221,-63.8047,-52.876
56.025,11.3529,-14.7997,22.073,-285.432,-40.3838,-70.4565
56.03,10.1314,-13.1509,23.4255,-277.504,-15.1871,-84.5025
56.035,8.52742,-11.2501,24.0848,-271.771,17.9671,-92.2009
56.039,7.37661,-8.67348,23.8817,-266.979,57.2668,-95.0642
56.045,6.54125,-6.52028,23.7395,-258.763,92.8153,-99.4092
56.049,6.36304,-5.48117,24.2047,-242.823,123.477,-106.208
56.055,6.26059,-5.38685,24.5822,-220.787,151.285,-111.941
56.059,5.96527,-5.38232,24.7743,-197.727,175.276,-112.229
56.065,5.6332,-5.16107,24.9826,-173.846,192.245,-108.455
56.07,5.34572,-5.17257,24.6864,-146.432,198.634,-103.11
56.074,4.89417,-6.20832,23.905,-114.883,193.314,-97.127
56.08,4.28458,-7.08837,22.8205,-81.1485,179.093,-87.8685
56.085,3.95718,-8.38025,21.6746,-47.3015,158.616,-78.7678
56.09,3.77813,-10.3938,20.4434,-16.4856,134.896,-70.1519
56.095,3.23822,-11.4155,19.496,10.9638,112.645,-57.6853
56.1,2.54329,-10.3506,18.9578,35.7502,94.5038,-43.194
56.105,1.36302,-8.48297,18.235,57.4874,79.7481,-30.0261
56.11,0.605084,-7.35686,17.4435,77.649,65.0189,-19.8985
56.115,3.94704,-11.0628,18.1136,100.982,45.8953,-25.049
56.121,-1.11539,-13.2203,14.7291,124.002,37.0724,-25.2293
56.126,-7.05483,-9.14473,9.65192,128.763,40.2715,-0.0725666
56.131,-6.44968,-8.7507,4.51333,143.235,5.39748,14.9749
56.136,-7.15329,-10.446,-1.73503,135.788,-42.2695,31.471
56.141,-10.4367,-14.335,-8.91443,112.016,-68.3788,44.4546
56.146,-13.9294,-19.7783,-16.5642,98.5838,-78.7757,52.988
56.151,-17.0408,-22.4787,-22.8865,89.3355,-86.0422,61.8705
56.156,-17.7041,-20.9393,-25.8456,81.6601,-105.395,64.7187
56.162,-13.71,-14.5045,-19.5623,78.1559,-140.878,57.467
56.167,-8.42843,-8.70391,-5.90485,81.2192,-178.317,49.1246
56.172,-7.61577,-9.30612,3.31129,91.7899,-191.125,42.5669
56.177,-6.01075,-13.4029,8.72108,110.501,-183.709,30.5579
56.182,-3.08957,-14.0533,12.896,130.477,-190.253,28.6605
